team,p_r16,p_r8,p_r4,p_semi,p_final,p_champion,group
Belgium,61.94,38.34,23.82,6.29,5.31,3.38,G
Germany,72.5,50.19,34.1,23.01,4.43,2.85,E
Argentina,69.54,32.22,18.07,4.4,3.68,2.1,J
Portugal,64.89,41.07,15.2,3.38,3.1,1.71,K
South Korea,58.7,36.28,20.18,10.95,2.41,1.37,A
Morocco,52.22,31.26,17.64,8.98,1.93,0.94,C
Brazil,52.41,31.2,16.91,8.54,1.97,0.88,C
Mexico,47.87,25.93,13.33,6.33,1.38,0.53,A
Türkiye,41.18,15.79,6.06,1.38,1.03,0.52,D
Ecuador,47.92,24.19,12.45,5.42,1.1,0.51,E
Spain,46.05,23.81,11.29,1.63,1.12,0.51,H
France,52.83,26.3,13.96,6.86,1.41,0.49,I
England,47.94,23.05,9.58,3.06,1.04,0.47,L
Australia,40.26,14.89,5.38,1.42,1.07,0.46,D
Netherlands,41.34,20.77,9.38,4.08,0.95,0.42,F
Colombia,48.36,23.83,8.57,1.27,1.04,0.42,K
Algeria,44.86,20.04,8.39,1.58,0.79,0.34,J
Norway,43.45,18.99,9.34,3.75,0.77,0.33,I
Switzerland,30.79,11.9,4.3,1.44,0.7,0.28,B
Saudi Arabia,34.3,13.83,5.43,0.76,0.54,0.26,H
Japan,33.65,15.42,6.88,2.95,0.68,0.22,F
Iran,39.54,14.0,3.91,0.86,0.5,0.18,G
Scotland,26.28,12.25,5.08,2.03,0.53,0.16,C
Senegal,27.35,9.91,3.63,1.16,0.27,0.15,I
Croatia,36.72,14.32,4.43,1.03,0.29,0.13,L
USA,27.71,8.7,2.45,0.51,0.31,0.13,D
Egypt,35.07,12.89,3.81,0.85,0.44,0.13,G
Ivory Coast,31.68,12.22,4.51,1.42,0.35,0.12,E
Austria,31.77,11.7,3.86,0.59,0.29,0.08,J
Czechia,26.77,11.24,3.91,1.16,0.26,0.08,A
Sweden,25.84,9.77,3.43,1.14,0.22,0.08,F
Canada,26.36,9.24,2.87,0.78,0.33,0.06,B
Uruguay,15.02,4.41,1.23,0.18,0.1,0.04,H
Bosnia and Herzegovina,18.78,5.96,1.62,0.38,0.16,0.03,B
DR Congo,13.59,3.77,1.12,0.11,0.08,0.03,K
Paraguay,17.78,5.08,1.17,0.3,0.19,0.03,D
Cape Verde,10.96,2.81,0.64,0.09,0.05,0.02,H
South Africa,7.23,1.88,0.51,0.16,0.07,0.02,A
Haiti,5.52,1.72,0.34,0.12,0.02,0.01,C
Iraq,4.99,1.14,0.23,0.03,0.01,0.01,I
Uzbekistan,6.98,1.67,0.29,0.05,0.03,0.01,K
Jordan,2.55,0.6,0.08,0.0,0.0,0.0,J
Qatar,3.27,0.37,0.08,0.01,0.01,0.0,B
Tunisia,4.51,0.77,0.14,0.02,0.01,0.0,F
Curaçao,0.7,0.07,0.01,0.0,0.0,0.0,E
Ghana,6.11,1.14,0.13,0.01,0.0,0.0,L
Panama,10.8,2.34,0.46,0.02,0.01,0.0,L
New Zealand,0.97,0.1,0.0,0.0,0.0,0.0,G
