match_id,group,team1,team2,match_label,goals_team1,goals_team2,probability
1,A,Mexico,South Africa,Mexico vs South Africa,0,0,11.6
1,A,Mexico,South Africa,Mexico vs South Africa,0,1,6.54
1,A,Mexico,South Africa,Mexico vs South Africa,0,2,1.84
1,A,Mexico,South Africa,Mexico vs South Africa,0,3,0.35
1,A,Mexico,South Africa,Mexico vs South Africa,0,4,0.05
1,A,Mexico,South Africa,Mexico vs South Africa,0,5,0.01
1,A,Mexico,South Africa,Mexico vs South Africa,0,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,1,0,18.45
1,A,Mexico,South Africa,Mexico vs South Africa,1,1,10.4
1,A,Mexico,South Africa,Mexico vs South Africa,1,2,2.93
1,A,Mexico,South Africa,Mexico vs South Africa,1,3,0.55
1,A,Mexico,South Africa,Mexico vs South Africa,1,4,0.08
1,A,Mexico,South Africa,Mexico vs South Africa,1,5,0.01
1,A,Mexico,South Africa,Mexico vs South Africa,1,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,2,0,14.67
1,A,Mexico,South Africa,Mexico vs South Africa,2,1,8.27
1,A,Mexico,South Africa,Mexico vs South Africa,2,2,2.33
1,A,Mexico,South Africa,Mexico vs South Africa,2,3,0.44
1,A,Mexico,South Africa,Mexico vs South Africa,2,4,0.06
1,A,Mexico,South Africa,Mexico vs South Africa,2,5,0.01
1,A,Mexico,South Africa,Mexico vs South Africa,2,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,3,0,7.78
1,A,Mexico,South Africa,Mexico vs South Africa,3,1,4.38
1,A,Mexico,South Africa,Mexico vs South Africa,3,2,1.24
1,A,Mexico,South Africa,Mexico vs South Africa,3,3,0.23
1,A,Mexico,South Africa,Mexico vs South Africa,3,4,0.03
1,A,Mexico,South Africa,Mexico vs South Africa,3,5,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,3,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,4,0,3.09
1,A,Mexico,South Africa,Mexico vs South Africa,4,1,1.74
1,A,Mexico,South Africa,Mexico vs South Africa,4,2,0.49
1,A,Mexico,South Africa,Mexico vs South Africa,4,3,0.09
1,A,Mexico,South Africa,Mexico vs South Africa,4,4,0.01
1,A,Mexico,South Africa,Mexico vs South Africa,4,5,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,4,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,5,0,0.98
1,A,Mexico,South Africa,Mexico vs South Africa,5,1,0.55
1,A,Mexico,South Africa,Mexico vs South Africa,5,2,0.16
1,A,Mexico,South Africa,Mexico vs South Africa,5,3,0.03
1,A,Mexico,South Africa,Mexico vs South Africa,5,4,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,5,5,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,5,6,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,6,0,0.26
1,A,Mexico,South Africa,Mexico vs South Africa,6,1,0.15
1,A,Mexico,South Africa,Mexico vs South Africa,6,2,0.04
1,A,Mexico,South Africa,Mexico vs South Africa,6,3,0.01
1,A,Mexico,South Africa,Mexico vs South Africa,6,4,0.0
1,A,Mexico,South Africa,Mexico vs South Africa,6,5,0.0
