team,p_first_in_group,p_advance_r32,group
Belgium,74.36,99.36,G
Germany,70.3,99.31,E
Argentina,66.19,98.27,J
Portugal,64.89,96.64,K
England,48.91,92.43,L
France,50.2,91.97,I
Switzerland,48.809999999999995,91.14999999999999,B
South Korea,49.13,91.01,A
Spain,49.99,90.0,H
Ecuador,20.849999999999998,89.27000000000001,E
Brazil,41.760000000000005,88.8,C
Morocco,39.190000000000005,88.01,C
Netherlands,43.169999999999995,87.82,F
Croatia,36.91,87.17,L
Colombia,28.18,86.72999999999999,K
Norway,31.230000000000004,85.27,I
Mexico,32.95,85.27,A
Algeria,21.58,84.94,J
Iran,14.360000000000001,84.06,G
Canada,29.9,81.28999999999999,B
Japan,29.24,80.63,F
Saudi Arabia,30.330000000000002,79.80000000000001,H
Türkiye,33.300000000000004,79.41,D
Egypt,11.200000000000001,79.14999999999999,G
Australia,33.85,78.42,D
Ivory Coast,8.709999999999999,74.88,E
Sweden,24.349999999999998,74.86,F
Austria,11.39,72.16,J
Bosnia and Herzegovina,18.42,69.08,B
Senegal,16.46,68.42,I
Scotland,15.86,66.3,C
USA,20.86,65.01,D
Czechia,14.67,64.66,A
Uruguay,10.68,52.910000000000004,H
Panama,9.719999999999999,51.12,L
Paraguay,11.99,49.120000000000005,D
Cape Verde,9.0,44.47,H
DR Congo,4.31,43.25,K
Ghana,4.46,34.71,L
Uzbekistan,2.62,27.76,K
South Africa,3.25,27.500000000000004,A
Haiti,3.19,25.71,C
Tunisia,3.2399999999999998,25.19,F
Qatar,2.87,23.330000000000002,B
Iraq,2.11,20.48,I
Jordan,0.84,12.06,J
New Zealand,0.08,5.8500000000000005,G
Curaçao,0.13999999999999999,4.99,E
