team,group,fifa_rank,confederation,coach,best_wc_result,debut_2026,market_value_eur_m,RankScore,MarketScore,PowerScore,p_first_in_group,p_advance_r32,p_r16,p_r8,p_r4,p_final,p_champion,match1_opponent,match1_date,match1_lambda_team,match1_lambda_opp,match1_score,match1_p_win,match1_p_draw,match1_p_loss,match2_opponent,match2_date,match2_lambda_team,match2_lambda_opp,match2_score,match2_p_win,match2_p_draw,match2_p_loss,match3_opponent,match3_date,match3_lambda_team,match3_lambda_opp,match3_score,match3_p_win,match3_p_draw,match3_p_loss
Mexico,A,15,CONCACAF,Javier Aguirre,"Quarter-finals (1970,1986)",No,191.85,93.3,82.9,88.1,32.95,85.27,47.87,25.93,13.33,6.33,0.53,South Africa,2026-06-11,1.59,0.56,1-0,62.4,24.6,12.9,South Korea,2026-06-18,0.84,1.06,0-1,28.2,31.5,40.3,Czechia,2026-06-24,1.59,1.04,1-1,49.9,25.1,24.9
South Africa,A,60,CAF,Hugo Broos,"Group stage (1998,2002,2010)",No,49.25,71.9,68.1,70.0,3.25,27.500000000000004,7.23,1.88,0.51,0.16,0.02,Mexico,2026-06-11,0.56,1.59,0-1,12.9,24.6,62.4,Czechia,2026-06-18,0.91,1.68,0-1,20.2,24.1,55.4,South Korea,2026-06-24,0.48,1.72,0-1,9.8,22.3,67.8
South Korea,A,25,AFC,Hong Myung-bo,Semi-finals (2002),No,139.05,88.6,78.1,83.3,49.13,91.01,58.7,36.28,20.18,10.95,1.37,Czechia,2026-06-11,1.72,0.88,1-0,56.8,23.8,19.2,Mexico,2026-06-18,1.06,0.84,1-0,40.3,31.5,28.2,South Africa,2026-06-24,1.72,0.48,1-0,67.8,22.3,9.8
Czechia,A,41,UEFA,Ivan Hasek,"Runner-up (1934,1962)",No,188.18,81.0,82.4,81.7,14.67,64.66,26.77,11.24,3.91,1.16,0.08,South Korea,2026-06-11,0.88,1.72,0-1,19.2,23.8,56.8,South Africa,2026-06-18,1.68,0.91,1-0,55.4,24.1,20.2,Mexico,2026-06-24,1.04,1.59,1-1,24.9,25.1,49.9
Canada,B,30,CONCACAF,Jesse Marsch,"Group stage (1986,2022)",No,198.65,86.2,83.3,84.8,29.9,81.28999999999999,26.36,9.24,2.87,0.78,0.06,Bosnia and Herzegovina,2026-06-12,0.91,0.69,0-0,38.8,34.9,26.2,Qatar,2026-06-19,1.27,0.38,1-0,59.3,29.7,11.1,Switzerland,2026-06-24,1.01,1.24,1-1,29.8,28.5,41.7
Switzerland,B,19,UEFA,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,332.5,91.4,90.5,91.0,48.809999999999995,91.14999999999999,30.79,11.9,4.3,1.44,0.28,Qatar,2026-06-13,1.85,0.45,1-0,71.3,20.2,8.2,Bosnia and Herzegovina,2026-06-18,1.33,0.82,1-0,48.8,28.2,22.9,Canada,2026-06-24,1.24,1.01,1-1,41.7,28.5,29.8
Qatar,B,35,AFC,Marquez Lopez,Group stage (2022),No,19.93,83.8,57.1,70.5,2.87,23.330000000000002,3.27,0.37,0.08,0.01,0.0,Switzerland,2026-06-13,0.45,1.85,0-1,8.2,20.2,71.3,Canada,2026-06-19,0.38,1.27,0-1,11.1,29.7,59.3,Bosnia and Herzegovina,2026-06-24,0.41,1.03,0-1,14.4,34.8,50.8
Bosnia and Herzegovina,B,52,UEFA,Sergej Barbarez,Group stage (2014),No,151.6,75.7,80.0,77.9,18.42,69.08,18.78,5.96,1.62,0.38,0.03,Canada,2026-06-12,0.69,0.91,0-0,26.2,34.9,38.8,Switzerland,2026-06-18,0.82,1.33,0-1,22.9,28.2,48.8,Qatar,2026-06-24,1.03,0.41,1-0,50.8,34.8,14.4
Brazil,C,6,CONMEBOL,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,928.2,97.6,97.6,97.6,41.760000000000005,88.8,52.41,31.2,16.91,8.54,0.88,Morocco,2026-06-13,1.52,1.56,1-1,37.1,24.0,38.8,Haiti,2026-06-19,2.38,0.84,2-0,70.5,16.9,11.4,Scotland,2026-06-24,2.13,1.4,2-1,53.5,20.8,25.0
Morocco,C,8,CAF,Walid Regragui,Semi-finals (2022),No,498.3,96.7,94.8,95.7,39.190000000000005,88.01,52.22,31.26,17.64,8.98,0.94,Brazil,2026-06-13,1.56,1.52,1-1,38.8,24.0,37.1,Scotland,2026-06-19,1.69,1.09,1-1,51.3,24.1,24.4,Haiti,2026-06-24,1.9,0.65,1-0,66.7,20.9,12.0
Haiti,C,83,CONCACAF,Marc Collat,Group stage (1974),No,55.9,61.0,69.0,65.0,3.19,25.71,5.52,1.72,0.34,0.12,0.01,Scotland,2026-06-13,0.91,1.71,0-1,20.0,23.9,55.9,Brazil,2026-06-19,0.84,2.38,0-2,11.4,16.9,70.5,Morocco,2026-06-24,0.65,1.9,0-1,12.0,20.9,66.7
Scotland,C,47,UEFA,Steve Clarke,Group stage (multiple),No,170.25,78.1,81.0,79.5,15.86,66.3,26.28,12.25,5.08,2.03,0.16,Haiti,2026-06-13,1.71,0.91,1-0,55.9,23.9,20.0,Morocco,2026-06-19,1.09,1.69,1-1,24.4,24.1,51.3,Brazil,2026-06-24,1.4,2.13,1-2,25.0,20.8,53.5
USA,D,16,CONCACAF,Mauricio Pochettino,Third place (1930),No,385.65,92.9,92.4,92.6,20.86,65.01,27.71,8.7,2.45,0.51,0.13,Paraguay,2026-06-12,1.8,1.4,1-1,46.7,23.0,30.0,Australia,2026-06-19,1.43,1.8,1-1,30.7,22.9,46.1,Türkiye,2026-06-25,1.39,1.78,1-1,30.0,23.1,46.6
Paraguay,D,64,CONMEBOL,Gustavo Alfaro,Quarter-finals (2010),No,153.65,70.0,80.5,75.2,11.99,49.120000000000005,17.78,5.08,1.17,0.3,0.03,USA,2026-06-12,1.4,1.8,1-1,30.0,23.0,46.7,Türkiye,2026-06-20,0.88,1.45,0-1,22.8,26.8,50.3,Australia,2026-06-25,0.9,1.46,0-1,23.3,26.6,50.0
Australia,D,26,AFC,Tony Popovic,"Round of 16 (2006,2022)",No,77.45,88.1,72.9,80.5,33.85,78.42,40.26,14.89,5.38,1.42,0.46,Türkiye,2026-06-13,1.13,1.15,1-1,35.2,28.6,36.3,USA,2026-06-19,1.8,1.43,1-1,46.1,22.9,30.7,Paraguay,2026-06-25,1.46,0.9,1-0,50.0,26.6,23.3
Türkiye,D,42,UEFA,Vincenzo Montella,Third place (2002),No,473.7,80.5,93.8,87.1,33.300000000000004,79.41,41.18,15.79,6.06,1.38,0.52,Australia,2026-06-13,1.15,1.13,1-1,36.3,28.6,35.2,Paraguay,2026-06-20,1.45,0.88,1-0,50.3,26.8,22.8,USA,2026-06-25,1.78,1.39,1-1,46.6,23.1,30.0
Germany,E,10,UEFA,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",No,947.0,95.7,98.1,96.9,70.3,99.31,72.5,50.19,34.1,23.01,2.85,Curaçao,2026-06-14,4.73,0.54,4-0,76.0,3.0,1.0,Ivory Coast,2026-06-20,2.71,1.11,2-1,69.0,15.8,13.1,Ecuador,2026-06-25,1.92,1.13,1-1,55.4,22.1,22.0
